yr,quarter,countryi,countryj,exp_ij,wdist_ij,gdp_i,gdp_j,gdpcap_i,gdpcap_j,pop_i,pop_j,price_pi,price_pj,tr_mbs,cdt_mbs,WBCNon_NC,contig,com_lang,landlci,landlcj,Ke_ntb_ug1,Ke_ntb_eac1,Rw_ntb_ke,Ke_ntb_eac2,,,,,,,,,,,,,,,,
2019,Q2,UG,KEN,171433178,688,8.9406,25.6314,212,508,42230722,50450195,3745,101,51,89,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q3,UG,KEN,138458425,688,10.2704,24.8063,241,489,42588386,50700203,3688,103,44,88,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2019,Q4,UG,KEN,143795948,688,9.8456,25.3330,229,497,42949080,50951450,3689,102,46,110,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q1,UG,KEN,130577288,688,9.1053,26.9232,210,526,43355918,51211110,3706,102,41,98,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q2,UG,KEN,84474123,688,8.4268,24.5521,193,477,43702701,51468042,3767,106,54,105,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q3,UG,KEN,127162495,688,10.5716,23.5359,240,455,44052258,51726263,3690,108,48,110,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2020,Q4,UG,KEN,147322771,688,9.9973,25.7673,225,496,44404611,51985780,3697,109,43,113,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q1,UG,KEN,158672406,688,9.5650,26.9973,214,516,44787780,52276094,3673,110,57,93,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q2,UG,KEN,156314959,688,10.4160,28.2774,231,538,45140331,52518145,3572,108,45,108,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q3,UG,KEN,162532738,688,11.5194,26.9979,253,512,45495656,52761316,3538,109,44,73,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2021,Q4,UG,KEN,146284847,688,11.1363,28.0614,243,529,45853778,53005614,3562,112,49,74,0,1,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q1,UG,KEN,177450323,688,13.6409,25.5882,296,480,46093547,53282780,3557,119,68,51,5.41,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q2,UG,KEN,184055332,688,12.5046,26.3049,270,491,46334571,53561396,3696,123,62,51,6.69,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
2022,Q3,UG,KEN,160850443,688,11.8638,25.7159,255,478,46576854,53841468,3834,126,48,20,2.87,1,1,1,0,1,1,0,1,,,,,,,,,,,,,,,,
